EvaluationName,Paradigm,EvaluatedDigits,TestLoss,Accuracy,Correct,Total,ModelLoaded
eval_task1_after_task1,TIL,"[0, 1, 2, 3, 4]",0.0141,99.53,5115,5139,incremental_add_one_task1.pth
eval_task1_after_task2,TIL,"[0, 1, 2, 3, 4]",0.1773,93.73,4817,5139,incremental_add_one_task2.pth
eval_task1_after_task3,TIL,"[0, 1, 2, 3, 4]",0.2464,91.26,4690,5139,incremental_add_one_task3.pth
eval_task1_after_task4,TIL,"[0, 1, 2, 3, 4]",0.5285,78.36,4027,5139,incremental_add_one_task4.pth
eval_task1_after_task5,TIL,"[0, 1, 2, 3, 4]",0.6267,75.48,3879,5139,incremental_add_one_task5.pth
eval_task1_after_task6,TIL,"[0, 1, 2, 3, 4]",0.8636,66.08,3396,5139,incremental_add_one_task6.pth
eval_task2_new,TIL,[5],5.2543,3.59,32,892,incremental_add_one_task2.pth
eval_task3_new,TIL,[6],6.2324,0.84,8,958,incremental_add_one_task3.pth
eval_task4_new,TIL,[7],10.2209,0.29,3,1028,incremental_add_one_task4.pth
eval_task5_new,TIL,[8],11.6368,0.00,0,974,incremental_add_one_task5.pth
eval_task6_new,TIL,[9],9.5609,0.00,0,1009,incremental_add_one_task6.pth
eval_cumul_after_task2,TIL,"[0, 1, 2, 3, 4, 5]",0.2094,92.67,5589,6031,incremental_add_one_task2.pth
eval_cumul_after_task3,TIL,"[0, 1, 2, 3, 4, 5, 6]",0.7399,80.57,5631,6989,incremental_add_one_task3.pth
eval_cumul_after_task4,TIL,"[0, 1, 2, 3, 4, 5, 6, 7]",1.2489,62.95,5047,8017,incremental_add_one_task4.pth
eval_cumul_after_task5,TIL,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",1.5557,53.93,4849,8991,incremental_add_one_task5.pth
eval_all_after_task6,TIL,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",2.2369,44.05,4405,10000,incremental_add_one_task6.pth
